,1_PINT-invitro.counts,10_PINT-Conv.counts,11_PINT-Conv.counts,12_PINT-Conv.counts,2_PINT-invitro.counts,3_PINT-invitro.counts,4_PINT-invitro.counts,5_PINT-eSPF.counts,6_PINT-eSPF.counts,7_PINT-eSPF.counts,8_PINT-eSPF.counts,9_PINT-Conv.counts
PINT_01462,0.888138332026843,0.874169348208906,-0.463748712092357,0.784957948288821,0.965190488808753,1.00470649222028,0.935915039374062,-1.3355426770351,-1.10194073461468,-1.11949683135635,-1.22696758228741,-0.205381111541776
PINT_01463,0.723786239583507,1.27265793518436,-0.273044010944098,1.08022221054216,0.772776313033828,0.778969015885021,0.684291372169109,-1.32147147419614,-1.13165954750461,-1.14505448810184,-1.25261955848696,-0.188854007164337
PINT_01464,1.20961525269141,-0.476398096616305,-0.741433759957872,0.0667197770696883,1.26584257682624,1.40719971296244,1.19112676586717,-0.904088399286107,-0.541026836197228,-0.575203679225839,-1.45313761242316,-0.449215701710437
PINT_01465,0.985975656548802,-0.838292114897242,-0.304105237824624,-0.205903781158666,1.40204279899366,1.4207711888501,1.3431596498158,-0.98514354972155,-0.797123984027338,-0.721530713815976,-1.11388800316018,-0.185961909602785
PINT_01466,1.51970222690457,-0.316463691323206,-1.05164891745207,-0.786360127770077,0.386637350373795,-0.373868849018726,0.133834705402016,-1.1950674394865,1.74838121855697,1.11672940133602,-0.3376326179695,-0.844243259553299
PINT_01467,-1.7174602878992,0.585144089475167,1.47498362009498,0.484225186154306,-1.15124872748519,-1.06177758908867,-0.936763178602847,0.417028230855562,0.686118235866991,-0.193712053584309,0.328259251389382,1.08520322282381
PINT_01468,-1.53687609601556,1.05557574492748,1.40752214335769,0.0263001779068247,-1.2075461922834,-1.09053622830936,-1.14560724991391,0.0988654893494157,0.874155943991192,0.629329696013174,0.351855403568497,0.536961167407974
PINT_01542,-1.14119531258964,-0.197978626436459,0.243464525489361,1.61561843360378,-1.18106795925231,-1.12514004556487,-1.16885849125219,1.12208222207921,0.163841418677542,0.173137970749647,0.234799792275475,1.26129607222046
PINT_01543,-1.25548403540381,-0.479842800955915,0.121271008132245,1.35921385058111,-1.25219720674233,-1.07745621116375,-1.11211332407159,1.19714973690395,0.42944747912822,0.418790781424918,0.502042198323438,1.1491785238435
PINT_01544,-1.27280287470904,-0.579660668539382,0.0559995104760297,1.30018636167716,-1.15495147097468,-1.07279269614645,-1.14182545929293,1.2113168128529,0.502307459431679,0.405322366600964,0.597710414539919,1.14919024408384
PINT_01545,-1.27884941583717,-0.462140161386082,-0.0712287101509355,1.24065296246072,-1.19613808485882,-1.12992226086094,-1.13768295342226,1.21455112581157,0.546639924799805,0.538610574842766,0.735766876373726,0.999740122227629
