,13_PMUR-invitro.counts,14_PMUR-invitro.counts,15_PMUR-invitro.counts,16_PMUR-invitro.counts,17_PMUR-eSPF.counts,18_PMUR-eSPF.counts,19_PMUR-eSPF.counts,20_PMUR-eSPF.counts,21_PMUR-Conv.counts,22_PMUR-Conv.counts,23_PMUR-Conv.counts,24_PMUR-Conv.counts
PMUR_00223,-0.887544385030734,-0.846831679077753,-1.3927967624685,-1.1393911896086,1.18293018183692,0.598851565041792,-0.4881335992405,1.1709906855992,1.62865991089138,0.0337200286698415,-0.266529902631627,0.40607514601859
PMUR_00224,-0.960397726338936,-0.975881353633441,-1.40257678267718,-0.932492310599161,1.36175705266437,0.466514619476838,-0.434501220966011,1.0058728919727,1.66809942091534,-0.218488630378209,-0.00868446973258055,0.430778509296276
PMUR_00225,-1.36803080588755,-1.29678970840034,-1.38961377424856,-1.30016506201319,0.88999685563615,0.56695101355226,0.612361491862019,0.889970509658851,0.851202085280925,0.548444195961686,0.606905365237813,0.388767833359921
PMUR_00226,-1.24550200805893,-1.14282267957138,-1.11127854657559,-1.24971619997777,0.473067786185828,0.840647742724594,0.588023972316945,0.140812560785859,0.628612009616253,0.560388679320736,1.80503628754096,-0.287269604307531
PMUR_00325,-1.47646640769927,-1.01637908164785,-1.48189631640429,-1.33092308398499,0.803857020686224,0.629933997143185,0.424136926846712,0.661792603072596,0.524894239051768,0.583223198783731,0.578559647926848,1.09926725622533
PMUR_00326,-1.02703051458469,-0.939682323669635,-1.25042432867452,-1.25694541228268,1.04214851752384,0.403682601799041,-0.640843195402595,1.29348464752852,0.580264239508032,0.30442737994072,0.0225776223136753,1.46834076600027
PMUR_00327,-0.981471582201356,-0.517213591789868,-0.971616812024861,-0.832163209816568,1.47381276700587,0.811675222655214,-1.04020222313891,1.11964618415791,-0.0846937242829432,-0.279884930441846,-0.357121493151229,1.65923339302858
PMUR_00328,-0.986852581992117,-0.832219794305303,-1.01951803309609,-0.995165254349948,1.26689649183829,0.643171346881387,-0.53869954862949,1.5682869945174,0.265160464934183,-0.0378558329540179,-0.725207923755554,1.39200367091125
PMUR_00329,-0.84661993225371,-0.753691377615659,-1.07077864924697,-1.02105600386059,1.33542146162753,0.77978618489499,-0.696324201643247,1.59459100453819,0.303746591750075,-0.110453900184548,-0.728083096481753,1.21346191847569
PMUR_00330,-1.11766996778222,-1.00296629279138,-0.926195388344168,-0.934410103239596,1.18412407973815,0.738728738102479,-0.512962958964547,1.65908843679602,0.314097384822532,0.307998309108064,-0.807470082113436,1.09763784466808
