# bin	superkingdom	phylum	class	order	family	genus	species
MAG597	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG598	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG599	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG600	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Z-noStdName	Prevotellaceae bacterium
MAG601	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Z-noStdName	Z-noStdName
MAG602	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Z-noStdName	Z-noStdName
MAG603	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Z-noStdName	Z-noStdName
MAG604	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG605	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG606	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG607	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG608	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG609	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG610	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG611	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG612	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG613	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG614	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG615	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella multisaccharivorax
MAG616	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG617	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG618	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG619	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG620	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG621	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. 885
MAG622	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Z-noStdName
MAG623	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Z-noStdName	Z-noStdName
MAG624	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG625	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG626	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG627	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG628	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Z-noStdName	Z-noStdName
MAG629	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Z-noStdName	Z-noStdName
MAG630	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG
MAG631	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Z-noStdName	Z-noStdName
MAG632	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Z-noStdName	Z-noStdName
MAG633	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG
MAG634	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG635	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG
MAG636	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG637	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Z-noStdName
MAG638	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Z-noStdName	Z-noStdName	Z-noStdName
MAG639	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CAG
MAG640	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Z-noStdName	Z-noStdName
MAG641	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
MAG642	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Z-noStdName
